{'x': 4.49, 'y': 32.26, 't': 1649401814.9074013}
{'x': 4.43, 'y': 32.32, 't': 1649401815.0083892}
{'x': 4.44, 'y': 32.29, 't': 1649401815.1072183}
{'x': 4.52, 'y': 32.31, 't': 1649401815.2073386}
{'x': 4.48, 'y': 32.35, 't': 1649401815.3085577}
{'x': 4.55, 'y': 32.38, 't': 1649401815.4094768}
{'x': 4.53, 'y': 32.43, 't': 1649401815.5054946}
{'x': 4.58, 'y': 32.5, 't': 1649401815.6078436}
{'x': 4.59, 'y': 32.6, 't': 1649401815.7073443}
{'x': 4.61, 'y': 32.71, 't': 1649401815.807154}
{'x': 4.43, 'y': 33.01, 't': 1649401815.9083102}
{'x': 4.34, 'y': 33.2, 't': 1649401816.0073216}
{'x': 4.25, 'y': 33.42, 't': 1649401816.1078959}
{'x': 4.32, 'y': 33.46, 't': 1649401816.2087977}
{'x': 4.36, 'y': 33.51, 't': 1649401816.308119}
{'x': 4.34, 'y': 33.58, 't': 1649401816.4085164}
{'x': 4.37, 'y': 33.65, 't': 1649401816.5043263}
{'x': 4.37, 'y': 33.74, 't': 1649401816.6081839}
{'x': 4.38, 'y': 33.86, 't': 1649401816.7073832}
{'x': 4.42, 'y': 33.97, 't': 1649401816.8083806}
{'x': 4.43, 'y': 34.09, 't': 1649401816.9076228}
{'x': 4.41, 'y': 34.2, 't': 1649401817.0010648}
{'x': 4.37, 'y': 34.29, 't': 1649401817.1065693}
{'x': 4.34, 'y': 34.39, 't': 1649401817.2083757}
{'x': 4.3, 'y': 34.5, 't': 1649401817.3076577}
{'x': 4.28, 'y': 34.58, 't': 1649401817.407345}
{'x': 4.25, 'y': 34.67, 't': 1649401817.5015311}
{'x': 4.28, 'y': 34.77, 't': 1649401817.6066685}
{'x': 4.28, 'y': 34.86, 't': 1649401817.705343}
{'x': 4.3, 'y': 34.96, 't': 1649401817.8061664}
{'x': 4.3, 'y': 35.06, 't': 1649401817.906366}
{'x': 4.32, 'y': 35.14, 't': 1649401818.0048838}
{'x': 4.31, 'y': 35.26, 't': 1649401818.1073782}
{'x': 4.32, 'y': 35.36, 't': 1649401818.2075002}
{'x': 4.34, 'y': 35.45, 't': 1649401818.3080297}
{'x': 4.33, 'y': 35.55, 't': 1649401818.4074552}
{'x': 4.32, 'y': 35.66, 't': 1649401818.5073116}
{'x': 4.31, 'y': 35.77, 't': 1649401818.6074948}
{'x': 4.32, 'y': 35.88, 't': 1649401818.7072873}
{'x': 4.31, 'y': 36.05, 't': 1649401818.809338}
{'x': 4.3, 'y': 36.21, 't': 1649401818.9078004}
{'x': 4.33, 'y': 36.23, 't': 1649401819.0079198}
{'x': 4.38, 'y': 36.25, 't': 1649401819.107324}
{'x': 4.41, 'y': 36.29, 't': 1649401819.2073965}
{'x': 4.4, 'y': 36.42, 't': 1649401819.3073065}
{'x': 4.4, 'y': 36.54, 't': 1649401819.4079223}
{'x': 4.39, 'y': 36.64, 't': 1649401819.5004208}
{'x': 4.37, 'y': 36.72, 't': 1649401819.6003437}
{'x': 4.39, 'y': 36.8, 't': 1649401819.707539}
{'x': 4.41, 'y': 36.88, 't': 1649401819.8079765}
{'x': 4.38, 'y': 36.95, 't': 1649401819.9078102}
{'x': 4.37, 'y': 37.0, 't': 1649401820.006567}
{'x': 4.37, 'y': 37.09, 't': 1649401820.1073909}
{'x': 4.38, 'y': 37.16, 't': 1649401820.2073903}
{'x': 4.38, 'y': 37.26, 't': 1649401820.3003974}
{'x': 4.37, 'y': 37.36, 't': 1649401820.4062908}
{'x': 4.37, 'y': 37.42, 't': 1649401820.5074315}
{'x': 4.36, 'y': 37.48, 't': 1649401820.601586}
{'x': 4.38, 'y': 37.52, 't': 1649401820.7004333}
{'x': 4.37, 'y': 37.56, 't': 1649401820.8095589}
{'x': 4.38, 'y': 37.59, 't': 1649401820.908363}
{'x': 4.38, 'y': 37.67, 't': 1649401821.0071397}
{'x': 4.38, 'y': 37.69, 't': 1649401821.107332}
{'x': 4.36, 'y': 37.73, 't': 1649401821.2073338}
{'x': 4.36, 'y': 37.77, 't': 1649401821.3073566}
{'x': 4.37, 'y': 37.79, 't': 1649401821.4075212}
{'x': 4.38, 'y': 37.83, 't': 1649401821.5071664}
{'x': 4.38, 'y': 37.86, 't': 1649401821.6073337}
{'x': 4.38, 'y': 37.89, 't': 1649401821.7004356}
{'x': 4.39, 'y': 37.92, 't': 1649401821.8084595}
{'x': 4.38, 'y': 37.95, 't': 1649401821.909216}
{'x': 4.38, 'y': 38.01, 't': 1649401822.0003068}
{'x': 4.36, 'y': 38.05, 't': 1649401822.1083715}
{'x': 4.37, 'y': 38.05, 't': 1649401822.2098079}
{'x': 4.37, 'y': 38.08, 't': 1649401822.3073273}
{'x': 4.37, 'y': 38.12, 't': 1649401822.407563}
{'x': 4.36, 'y': 38.16, 't': 1649401822.50035}
{'x': 4.35, 'y': 38.2, 't': 1649401822.601535}
{'x': 4.35, 'y': 38.25, 't': 1649401822.7068295}
{'x': 4.36, 'y': 38.27, 't': 1649401822.80736}
{'x': 4.35, 'y': 38.3, 't': 1649401822.9063466}
{'x': 4.33, 'y': 38.33, 't': 1649401823.0085847}
{'x': 4.33, 'y': 38.34, 't': 1649401823.1073902}
{'x': 4.33, 'y': 38.36, 't': 1649401823.2093017}
{'x': 4.34, 'y': 38.39, 't': 1649401823.3085458}
{'x': 4.34, 'y': 38.43, 't': 1649401823.4072526}
{'x': 4.34, 'y': 38.43, 't': 1649401823.508603}
{'x': 4.35, 'y': 38.43, 't': 1649401823.607407}
{'x': 4.34, 'y': 38.45, 't': 1649401823.7094178}
{'x': 4.35, 'y': 38.47, 't': 1649401823.80735}
{'x': 4.36, 'y': 38.48, 't': 1649401823.909667}
{'x': 4.35, 'y': 38.5, 't': 1649401824.00752}
{'x': 4.36, 'y': 38.5, 't': 1649401824.1073525}
{'x': 4.37, 'y': 38.49, 't': 1649401824.2093418}
{'x': 4.36, 'y': 38.51, 't': 1649401824.3073602}
{'x': 4.35, 'y': 38.53, 't': 1649401824.4075406}
{'x': 4.35, 'y': 38.55, 't': 1649401824.500403}
{'x': 4.33, 'y': 38.58, 't': 1649401824.6005576}
{'x': 4.32, 'y': 38.61, 't': 1649401824.7064795}
{'x': 4.31, 'y': 38.63, 't': 1649401824.8055708}
{'x': 4.31, 'y': 38.63, 't': 1649401824.9073563}
{'x': 4.32, 'y': 38.64, 't': 1649401825.0046473}
{'x': 4.32, 'y': 38.65, 't': 1649401825.1063907}
{'x': 4.32, 'y': 38.67, 't': 1649401825.2083683}
{'x': 4.31, 'y': 38.68, 't': 1649401825.3059742}
{'x': 4.29, 'y': 38.71, 't': 1649401825.4074352}
{'x': 4.28, 'y': 38.74, 't': 1649401825.5082703}
