{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543276.9752197, 'imu': 85.54771423339844}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 681.1764705882354, 'lb': 1016.6166916541729, 'time': 1645543277.1453502, 'imu': 85.54769897460938}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 390.0, 'lb': 1016.6166916541729, 'time': 1645543277.3152485, 'imu': 85.5475845336914}
{'lf': 751.1679920477137, 'rf': 1232.3783117683304, 'rb': 172.94117647058823, 'lb': 1016.6166916541729, 'time': 1645543277.4853454, 'imu': 85.54744720458984}
{'lf': 751.1679920477137, 'rf': 1232.3783117683304, 'rb': 132.3529411764706, 'lb': 1016.6166916541729, 'time': 1645543277.655275, 'imu': 85.54737091064453}
{'lf': 753.0566600397614, 'rf': 1232.3783117683304, 'rb': 139.41176470588238, 'lb': 1016.6166916541729, 'time': 1645543277.8254073, 'imu': 85.54736328125}
{'lf': 751.1679920477137, 'rf': 1232.3783117683304, 'rb': 124.70588235294117, 'lb': 1016.6166916541729, 'time': 1645543277.995412, 'imu': 85.5473861694336}
{'lf': 750.6958250497017, 'rf': 1232.3783117683304, 'rb': 152.3529411764706, 'lb': 1016.6166916541729, 'time': 1645543278.1654232, 'imu': 85.54737854003906}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 682.3529411764706, 'lb': 1016.6166916541729, 'time': 1645543278.3353984, 'imu': 85.54755401611328}
{'lf': 751.1679920477137, 'rf': 1232.3783117683304, 'rb': 682.3529411764706, 'lb': 1016.6166916541729, 'time': 1645543278.5052037, 'imu': 85.54759979248047}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 682.3529411764706, 'lb': 1016.6166916541729, 'time': 1645543278.675204, 'imu': 85.54777526855469}
{'lf': 751.1679920477137, 'rf': 1232.3783117683304, 'rb': 682.3529411764706, 'lb': 1016.6166916541729, 'time': 1645543278.84534, 'imu': 85.54777526855469}
{'lf': 751.1679920477137, 'rf': 1232.3783117683304, 'rb': 682.3529411764706, 'lb': 1016.6166916541729, 'time': 1645543279.0153522, 'imu': 85.54771423339844}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 683.5294117647059, 'lb': 1016.6166916541729, 'time': 1645543279.1854541, 'imu': 85.5475845336914}
{'lf': 753.0566600397614, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543279.355593, 'imu': 85.5475845336914}
{'lf': 751.1679920477137, 'rf': 1232.3783117683304, 'rb': 681.1764705882354, 'lb': 1016.6166916541729, 'time': 1645543279.5251334, 'imu': 85.5475845336914}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 682.3529411764706, 'lb': 1016.6166916541729, 'time': 1645543279.6951547, 'imu': 85.5475845336914}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543279.8651595, 'imu': 85.54779052734375}
{'lf': 751.1679920477137, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543280.0351703, 'imu': 85.54784393310547}
{'lf': 753.0566600397614, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543280.2052572, 'imu': 85.54780578613281}
{'lf': 751.1679920477137, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543280.3751886, 'imu': 85.5478744506836}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 682.3529411764706, 'lb': 1016.6166916541729, 'time': 1645543280.5452073, 'imu': 85.5478744506836}
{'lf': 751.1679920477137, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543280.715231, 'imu': 85.54777526855469}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 680.5882352941177, 'lb': 1016.6166916541729, 'time': 1645543280.8951297, 'imu': 85.54768371582031}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 681.1764705882354, 'lb': 1016.6166916541729, 'time': 1645543281.075328, 'imu': 85.5478286743164}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 683.5294117647059, 'lb': 1016.6166916541729, 'time': 1645543281.2451441, 'imu': 85.54778289794922}
{'lf': 751.1679920477137, 'rf': 1232.3783117683304, 'rb': 680.5882352941177, 'lb': 1016.6166916541729, 'time': 1645543281.4151626, 'imu': 85.54776000976562}
{'lf': 752.1123260437375, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543281.5851607, 'imu': 85.5477066040039}
{'lf': 751.1679920477137, 'rf': 1232.3783117683304, 'rb': 682.3529411764706, 'lb': 1016.6166916541729, 'time': 1645543281.7551792, 'imu': 85.5477294921875}
{'lf': 753.0566600397614, 'rf': 1232.3783117683304, 'rb': 681.1764705882354, 'lb': 1016.6166916541729, 'time': 1645543281.9251876, 'imu': 85.54774475097656}
{'lf': 751.1679920477137, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543282.09528, 'imu': 85.54768371582031}
{'lf': 751.1679920477137, 'rf': 1232.3783117683304, 'rb': 682.3529411764706, 'lb': 1016.6166916541729, 'time': 1645543282.2652931, 'imu': 85.5477066040039}
{'lf': 751.1679920477137, 'rf': 1232.3783117683304, 'rb': 681.7647058823529, 'lb': 1016.6166916541729, 'time': 1645543282.43531, 'imu': 85.54757690429688}
{'lf': 751.1679920477137, 'rf': 1232.3783117683304, 'rb': 681.1764705882354, 'lb': 1016.6166916541729, 'time': 1645543282.6053233, 'imu': 85.54739379882812}
{'lf': 751.1679920477137, 'rf': 1232.3783117683304, 'rb': 686.4705882352941, 'lb': 1016.6166916541729, 'time': 1645543282.7753296, 'imu': 85.54749298095703}
{'lf': 749.7514910536779, 'rf': 1232.3783117683304, 'rb': 672.9411764705883, 'lb': 1016.6166916541729, 'time': 1645543282.9454684, 'imu': 85.54761505126953}
{'lf': 749.2793240556659, 'rf': 1232.3783117683304, 'rb': 674.7058823529412, 'lb': 1016.6166916541729, 'time': 1645543283.1152663, 'imu': 85.54764556884766}
{'lf': 753.5288270377733, 'rf': 1186.1367837338264, 'rb': 682.3529411764706, 'lb': 1016.6166916541729, 'time': 1645543283.2851443, 'imu': 85.54737854003906}
{'lf': 750.6958250497017, 'rf': 1187.3074553296365, 'rb': 676.4705882352941, 'lb': 1016.6166916541729, 'time': 1645543283.4551642, 'imu': 85.54744720458984}
{'lf': 757.7783300198806, 'rf': 1188.4781269254468, 'rb': 686.4705882352941, 'lb': 1016.6166916541729, 'time': 1645543283.6251647, 'imu': 85.54747009277344}
{'lf': 758.2504970178926, 'rf': 1232.3783117683304, 'rb': 677.6470588235294, 'lb': 1016.6166916541729, 'time': 1645543283.7952814, 'imu': 85.54795837402344}
{'lf': 745.0298210735587, 'rf': 1232.3783117683304, 'rb': 677.6470588235294, 'lb': 739.3553223388305, 'time': 1645543283.9651954, 'imu': 85.54793548583984}
{'lf': 747.3906560636183, 'rf': 1232.3783117683304, 'rb': 671.7647058823529, 'lb': 750.7496251874063, 'time': 1645543284.135208, 'imu': 85.60418701171875}
{'lf': 755.889662027833, 'rf': 1196.6728280961183, 'rb': 668.8235294117648, 'lb': 759.2953523238381, 'time': 1645543284.3052037, 'imu': 86.20672607421875}
{'lf': 743.6133200795229, 'rf': 1232.3783117683304, 'rb': 661.7647058823529, 'lb': 769.2653673163418, 'time': 1645543284.4752135, 'imu': 86.87973022460938}
{'lf': 742.196819085487, 'rf': 1232.3783117683304, 'rb': 1150.0, 'lb': 764.992503748126, 'time': 1645543284.6453314, 'imu': 87.5847396850586}
{'lf': 737.9473161033796, 'rf': 1206.6235366605054, 'rb': 1141.1764705882354, 'lb': 771.6391804097951, 'time': 1645543284.8152485, 'imu': 88.12332916259766}
{'lf': 738.8916500994036, 'rf': 1232.3783117683304, 'rb': 1140.5882352941178, 'lb': 776.3868065967016, 'time': 1645543284.985295, 'imu': 88.53295135498047}
{'lf': 732.2813121272366, 'rf': 1232.3783117683304, 'rb': 1172.9411764705883, 'lb': 781.1344327836082, 'time': 1645543285.155184, 'imu': 89.03679656982422}
{'lf': 727.5596421471173, 'rf': 1223.0129390018485, 'rb': 1240.5882352941178, 'lb': 779.7101449275362, 'time': 1645543285.325317, 'imu': 89.47903442382812}
{'lf': 723.7823061630219, 'rf': 1231.7929759704252, 'rb': 1240.5882352941178, 'lb': 779.7101449275362, 'time': 1645543285.4954426, 'imu': 89.91146850585938}
{'lf': 716.227634194831, 'rf': 1232.3783117683304, 'rb': 1175.8823529411766, 'lb': 779.7101449275362, 'time': 1645543285.6652172, 'imu': 90.235107421875}
{'lf': 711.0337972166998, 'rf': 1232.3783117683304, 'rb': 1182.3529411764707, 'lb': 776.3868065967016, 'time': 1645543285.8352125, 'imu': 90.1941146850586}
{'lf': 709.145129224652, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 769.7401299350324, 'time': 1645543286.0051937, 'imu': 89.87230682373047}
{'lf': 711.9781312127236, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 759.2953523238381, 'time': 1645543286.1752057, 'imu': 88.92044067382812}
{'lf': 711.0337972166998, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 750.7496251874063, 'time': 1645543286.3452952, 'imu': 88.16265869140625}
{'lf': 714.3389662027832, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 738.8805597201399, 'time': 1645543286.5153675, 'imu': 87.32305908203125}
{'lf': 713.8667992047714, 'rf': 1232.3783117683304, 'rb': 1214.7058823529412, 'lb': 728.4357821089455, 'time': 1645543286.6853545, 'imu': 86.52691650390625}
{'lf': 716.227634194831, 'rf': 1232.3783117683304, 'rb': 1220.0, 'lb': 731.2843578210894, 'time': 1645543286.8554194, 'imu': 85.719482421875}
{'lf': 715.755467196819, 'rf': 1232.3783117683304, 'rb': 1227.6470588235295, 'lb': 713.2433783108446, 'time': 1645543287.0254703, 'imu': 84.65673065185547}
{'lf': 723.3101391650099, 'rf': 1232.3783117683304, 'rb': 1240.5882352941178, 'lb': 711.8190904547727, 'time': 1645543287.1951237, 'imu': 83.4551010131836}
